Polymer; set_alpha; set_beta; alpha_iso; alpha_embed; beta; sigma_alpha_iso; sigma_alpha_embed; sigma_beta; best_cost
TTIGBT -4.827453950332838 0.1348260650532895 -4.997453950332838 -4.887453950332841 0.1011195487899671 0.07999999999999999 0.13200000000000023 0.02159999999999998 0.0106
TTIGBTF -4.872283219522229 0.12834922688167327 -5.02228321952223 -4.942283219522231 0.08984445881717126 0.091 0.13195000000000034 0.016379999999999974 0.0082
TTIGBTFF -3.2459312519128893 0.14671149976677522 -3.2559312519128922 -3.2059312519128933 0.1129678548204169 0.05899999999999997 0.11947500000000004 0.03421999999999999 0.0076
TTIGDPT -4.547231163769659 0.10968382855527326 -4.727231163769659 -4.597231163769662 0.09981228398529865 0.06299999999999997 0.1386 0.031499999999999986 0.009
IGFT -5.449582191746836 0.15264234170984722 -5.719582191746836 -5.719582191746836 0.12669314361917317 0.08299999999999999 0.12865000000000026 0.014109999999999973 0.0176
IGFBT -5.6704112343043676 0.10156597214103424 -5.800411234304368 -5.780411234304369 0.06195524300603084 0.055999999999999966 0.10920000000000005 0.03415999999999998 0.022
IGFTFF -3.174135574912481 0.13211450333419691 -3.2941355749124814 -3.314135574912481 0.10437045763401553 0.091 0.19110000000000013 0.009099999999999971 0.0148
IGFBTF -5.811447508818432 0.042657828077285576 -5.851447508818435 -5.801447508818436 0.04159138237535343 0.08399999999999999 0.13230000000000025 0.010919999999999971 0.0194
IGFBTFF -5.885066443063834 0.036215501804745115 -5.905066443063837 -5.835066443063838 0.02861024642574863 0.07999999999999999 0.19399999999999998 0.007999999999999974 0.0226
IGFDPT -4.987378972025895 0.11712458341046901 -5.227378972025893 -5.197378972025894 0.10072714173300332 0.04799999999999996 0.17759999999999965 0.04319999999999998 0.0154
BDONT -3.6957224120924748 0.08053244148940819 -3.835722412092475 -3.835722412092475 0.0728818595479144 0.07099999999999998 0.16685 0.031949999999999985 0.0171
BDONTFF -3.811640882048785 0.07752415702115155 -3.911640882048786 -3.9816408820487847 0.10388237040834251 0.17100000000000007 0.2522250000000007 0.17100000000000007 0.0275
BDONBT -3.7647336430641527 0.07464357020023646 -3.894733643064153 -3.934733643064152 0.0671792131802128 0.05199999999999996 0.13519999999999988 0.030159999999999982 0.007
BDONBTF -3.75907989049368 0.057912520169185355 -3.949079890493679 -3.9690798904936786 0.05472733155988015 0.08299999999999999 0.1763750000000001 0.011619999999999972 0.011
BDONBTFF -3.792349984380873 0.05404503949462941 -4.032349984380871 -4.002349984380872 0.05458548988957569 0.06799999999999998 0.24819999999999964 0.044199999999999996 0.0228
BDONDPT -3.5508820622247925 0.06822198986268571 -3.680882062224793 -3.6108820622247944 0.06481089036955141 0.06699999999999998 0.2596249999999996 0.008039999999999995 0.0236
DPP2FU -5.111311877508965 0.23472028341658546 -5.201311877508966 -5.131311877508968 0.15491538705494634 0.08399999999999999 0.27509999999999973 0.042839999999999996 0.0161
NDI-b14_2_10x2_TVT -3.4542247282075733 0.07046204490099979 -3.3942247282075777 -3.484224728207576 0.04262953716510485 0.08199999999999999 0.13325000000000023 0.056580000000000005 0.0118
